Title,Genre(s),Developer(s),Publisher(s),Release date
Darksiders,"Hack & Slash, Action-adventure",Vigil Games,THQ,5-Jan-10
Darksiders II,"Hack & Slash, Action-adventure",Vigil Games,THQ,14-Jul-12
Darkstalkers Resurrection (Night Warriors: Darkstalkers' Revenge and Darkstalkers 3),Fighting,Iron Galaxy,Capcom,13-Mar-13
DarkStar One: Broken Alliance,Space Combat Sim,Gaming Minds Studio,Kalypso Media,20-Jul-10
Darwinia+,Action & Adventure,Introversion Software,Microsoft Studios,10-Feb-10
Dash of Destruction,Racing & Flying,NinjaBee,NinjaBee,17-Dec-08
Days of Thunder: Arcade,Racing & Flying,Piranha Games,Paramount Digital Entertainment,25-Feb-11
Daytona USA,Racing & Flying,Sega,Sega,26-Oct-11
de Blob 2,"Puzzle, Platform",Blue Tongue Entertainment,THQ,22-Feb-11
Dead Block,Action & Adventure,Candygun Games,Bandai Namco Entertainment,6-Jul-11
Dead Island,"First-person Shooter, Survival Horror, Open World",Techland,Deep Silver,6-Sep-11
Dead Island: Riptide,"First-person Shooter, Survival Horror, Open World",Techland,Deep Silver,23-Apr-13
Dead or Alive 4,Fighting,Team Ninja,Tecmo,29-Dec-05
Dead or Alive 5,Fighting,Team Ninja,Tecmo Koei,25-Sep-12
Dead or Alive 5 Ultimate,Fighting,Team Ninja,Tecmo Koei,3-Sep-13
Dead or Alive Xtreme 2,Sports,Team Ninja,Tecmo,13-Nov-06
Dead Rising,"Action-adventure, Survival Horror, Open World",Capcom,Capcom,8-Aug-06
Dead Rising 2,"Action-adventure, Survival Horror","Blue Castle, Capcom",Capcom,28-Sep-10
Dead Rising 2: Case West,Action & Adventure,Blue Castle Games,Capcom,27-Dec-10
Dead Rising 2: Case Zero,Action & Adventure,Blue Castle Games,Capcom,31-Aug-10
Dead Rising 2: Off the Record,"Action-adventure, Survival Horror",Capcom Vancouver,Capcom,11-Oct-11
Dead Space,"Third-person Shooter, Survival Horror",EA Redwood Shores,Electronic Arts,14-Oct-08
Dead Space 2,"Third-person Shooter, Survival Horror",Visceral Games,Electronic Arts,25-Jan-11
Dead Space 3,"Third-person Shooter, Survival Horror",Visceral Games,Electronic Arts,5-Feb-13
Dead Space Ignition,Action & Adventure,Sumo Digital,Electronic Arts,13-Oct-10
Dead to Rights: Retribution,Action,Volatile Games,Namco Bandai Games,27-Apr-10
Deadfall Adventures,"First-person shooter, Action-adventure",The Farm 51,Nordic Games,15-Nov-13
Deadliest Catch: Alaskan Storm,"Sim, God Game",Liquid Dragon Studios,Greenwave Games,16-Jun-08
Deadliest Catch: Sea of Chaos,"Sim, God Game",DoubleTap Games,Crave Entertainment,29-Nov-10
Deadliest Warrior: Ancient Combat,Fighting game,Pipeworks Software,345 Games,17-Apr-12
Deadliest Warrior: Battlegrounds,Action & Adventure,Hardsuit Labs,Spike,22-Jul-15
Deadliest Warrior: Legends,Fighting,Pipeworks Software,345 Games/Spike,6-Jul-11
Deadliest Warrior: The Game,Fighting,Pipeworks Software,Spike,14-Jul-10
Deadlight,Action & Adventure,Tequila Works,Microsoft Studios,1-Aug-12
Deadly Premonition[note 10],"Survival Horror, Open World",Access Games,UTV Ignition Entertainment,23-Feb-10
